criterion_id,criterion,status,critical,evidence,consequence
1,"A numerical feature-by-injection abundance matrix is available",FAIL,TRUE,"Complete MetaboLights and GigaDB inventories contain spectra plus ISA/readme files only; no matrix-like file exists.","Stop before preprocessing and correction methods."
2,"The matrix represents uncorrected or minimally processed intensities",FAIL,TRUE,"No matrix was deposited, so processing state cannot be assessed.","Cannot establish a valid benchmark input."
3,"No run-order correction, batch correction, QC normalization, or destructive global scaling has already been applied",FAIL,TRUE,"No matrix was deposited, so prior correction or normalization cannot be certified.","Cannot certify uncorrected intensities."
4,"Study samples and pooled QCs are represented in the same feature matrix",FAIL,TRUE,"Study and QC spectra coexist, but there is no shared feature matrix.","QC-based benchmarking is impossible without new peak processing."
5,"Matrix columns can be matched unambiguously to injection metadata",FAIL,TRUE,"ISA injections map to spectral files, but no matrix columns exist.","No safe matrix/metadata alignment is possible."
6,"Five batches and within-batch acquisition order can be reconstructed",PASS,TRUE,"ISA-Tab provides complete unique batch/order pairs; batch sizes are 42,43,35,44,63 and the supplement corroborates the sequence.","Order metadata would be usable if a matching matrix were supplied."
7,"QC identities and positions can be reconstructed",PASS,TRUE,"Sixty-six pooled QCs are explicit; per-batch counts are 13,14,15,13,11.","A constrained QC holdout would be feasible with a matrix."
8,"Gestational classes can be assigned to study samples","PASS WITH LIMITATION",TRUE,"A-F counts are 28,26,27,29,26,25; exact gestational week is unavailable and deposited F is 29-32 versus published 29-40.","Use A-F only unless precise weeks are supplied."
9,"Every batch contains sufficient study samples for within-batch drift testing",PASS,FALSE,"Per-batch study counts are 29,29,20,31,52.","Drift testing would be feasible after valid feature extraction."
10,"Every batch contains enough QCs for QC-based competitor methods",PASS,FALSE,"Per-batch QC counts are 13,14,15,13,11.","QC-based competitors would have sufficient controls."
11,"First and last usable QC positions can be retained for QC-RFSC",PASS,FALSE,"Every batch begins and ends with an observed QC.","Boundary QCs could be protected from holdout selection."
12,"Gestational class is not severely confounded with batch or run order",PASS,FALSE,"All six classes occur in all five batches; chi-squared=14.684, df=20, p=0.794, Cramer's V=0.151; the published sequence is interspersed.","Randomization is acceptable for a future matrix-based benchmark."
13,"The deposited data are not merely final normalized study values","PASS WITH LIMITATION",FALSE,"Deposited mzML/mzXML spectra are upstream of normalization, but no derived abundance matrix is available.","Using spectra requires a newly authorized peak-picking and alignment workflow."
