"criterion_id","criterion","status","evidence"
1,"Numerical feature-by-injection matrix","PASS","6461 numeric peak rows by 642 aligned injections after orientation."
2,"Uncorrected or minimally processed intensities","PASS WITH LIMITATION","The paper/repository describe an XCMS-derived peak table; m/z and retention-time annotations and the complete XCMS script are not included."
3,"No prior batch/drift/QC correction","PASS WITH LIMITATION","The package example treats Amide_data as original input to WaveICA; values are raw-intensity-like with zeros and strong batch/drift structure, with no evidence of prior correction."
4,"Study and pooled QC in same matrix","PASS","568 study samples and 74 pooled QCs coexist in Amide_data."
5,"Unambiguous matrix-metadata matching","PASS","Metadata and features are columns of the same deposited data frame; row names are unique sample IDs."
6,"Reliable supplied batch labels","PASS","Three supplied batches occupy contiguous acquisition intervals."
7,"Reliable acquisition order","PASS","Injection_order is globally unique 1..642 and equals deposited row order."
8,"Identifiable QCs","PASS","group=QC identifies 25, 25, and 24 QCs by batch."
9,"Usable biological labels","PASS WITH LIMITATION","Neutral groups are direct. Disease labels are not assigned: group counts match the two published cohort totals but do not prove which numeric value denotes which diagnosis."
10,"Sufficient study samples per batch","PASS","192, 192, and 184 study samples in batches 1, 2, and 3."
11,"Sufficient training QCs per batch","PASS","Five hidden QCs per batch leave 20, 20, and 19 training QCs."
12,"Boundary QCs can remain in training","PASS","The fixed holdout excludes the first and last QC of each batch."
13,"No severe biological-batch/order confounding","PASS","Both groups occur in every batch in virtually identical proportions; Cramer's V=0.0000 and chi-squared p=1."
14,"Safe input scale for WiNN","PASS","All values are finite and nonnegative; no inverse transformation is required."
