"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","fallback_applied","nonfinite_values_returned","features_restored_to_raw","samples_with_nonfinite_output","rule"
"primary","PRIMARY_005","simulation",,,"tiger","TIGER","results/primary/simulation/tiger",FALSE,0,0,0,"TIGER output was finite."
"primary","PRIMARY_014","mtbls79",,,"tiger","TIGER","results/primary/mtbls79/tiger",FALSE,0,0,0,"TIGER output was finite."
"primary","PRIMARY_023","clinical_fiams",,,"tiger","TIGER","results/primary/clinical_fiams/tiger",FALSE,0,0,0,"TIGER output was finite."
"primary","PRIMARY_032","batchcorr_set1",,,"tiger","TIGER","results/primary/batchcorr_set1/tiger",FALSE,0,0,0,"TIGER output was finite."
"primary","PRIMARY_041","sacurine",,,"tiger","TIGER","results/primary/sacurine/tiger",FALSE,0,0,0,"TIGER output was finite."
"primary","PRIMARY_050","waveica",,,"tiger","TIGER","results/primary/waveica/tiger",TRUE,16,4,16,"A TIGER feature with any non-finite corrected value was restored to its complete uncorrected input profile."
"simulation_seed","SIM_005","simulation","SIM01",,"tiger","TIGER","results/simulation_seeds/SIM01/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_014","simulation","SIM02",,"tiger","TIGER","results/simulation_seeds/SIM02/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_023","simulation","SIM03",,"tiger","TIGER","results/simulation_seeds/SIM03/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_032","simulation","SIM04",,"tiger","TIGER","results/simulation_seeds/SIM04/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_041","simulation","SIM05",,"tiger","TIGER","results/simulation_seeds/SIM05/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_050","simulation","SIM06",,"tiger","TIGER","results/simulation_seeds/SIM06/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_059","simulation","SIM07",,"tiger","TIGER","results/simulation_seeds/SIM07/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_068","simulation","SIM08",,"tiger","TIGER","results/simulation_seeds/SIM08/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_077","simulation","SIM09",,"tiger","TIGER","results/simulation_seeds/SIM09/tiger",FALSE,0,0,0,"TIGER output was finite."
"simulation_seed","SIM_086","simulation","SIM10",,"tiger","TIGER","results/simulation_seeds/SIM10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_481","simulation",,"SPLIT01","tiger","TIGER","results/reference_splits/simulation/SPLIT01/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_482","simulation",,"SPLIT02","tiger","TIGER","results/reference_splits/simulation/SPLIT02/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_483","simulation",,"SPLIT03","tiger","TIGER","results/reference_splits/simulation/SPLIT03/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_484","simulation",,"SPLIT04","tiger","TIGER","results/reference_splits/simulation/SPLIT04/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_485","simulation",,"SPLIT05","tiger","TIGER","results/reference_splits/simulation/SPLIT05/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_486","simulation",,"SPLIT06","tiger","TIGER","results/reference_splits/simulation/SPLIT06/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_487","simulation",,"SPLIT07","tiger","TIGER","results/reference_splits/simulation/SPLIT07/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_488","simulation",,"SPLIT08","tiger","TIGER","results/reference_splits/simulation/SPLIT08/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_489","simulation",,"SPLIT09","tiger","TIGER","results/reference_splits/simulation/SPLIT09/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_490","simulation",,"SPLIT10","tiger","TIGER","results/reference_splits/simulation/SPLIT10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_491","mtbls79",,"SPLIT01","tiger","TIGER","results/reference_splits/mtbls79/SPLIT01/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_492","mtbls79",,"SPLIT02","tiger","TIGER","results/reference_splits/mtbls79/SPLIT02/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_493","mtbls79",,"SPLIT03","tiger","TIGER","results/reference_splits/mtbls79/SPLIT03/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_494","mtbls79",,"SPLIT04","tiger","TIGER","results/reference_splits/mtbls79/SPLIT04/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_495","mtbls79",,"SPLIT05","tiger","TIGER","results/reference_splits/mtbls79/SPLIT05/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_496","mtbls79",,"SPLIT06","tiger","TIGER","results/reference_splits/mtbls79/SPLIT06/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_497","mtbls79",,"SPLIT07","tiger","TIGER","results/reference_splits/mtbls79/SPLIT07/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_498","mtbls79",,"SPLIT08","tiger","TIGER","results/reference_splits/mtbls79/SPLIT08/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_499","mtbls79",,"SPLIT09","tiger","TIGER","results/reference_splits/mtbls79/SPLIT09/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_500","mtbls79",,"SPLIT10","tiger","TIGER","results/reference_splits/mtbls79/SPLIT10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_501","clinical_fiams",,"SPLIT01","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT01/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_502","clinical_fiams",,"SPLIT02","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT02/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_503","clinical_fiams",,"SPLIT03","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT03/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_504","clinical_fiams",,"SPLIT04","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT04/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_505","clinical_fiams",,"SPLIT05","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT05/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_506","clinical_fiams",,"SPLIT06","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT06/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_507","clinical_fiams",,"SPLIT07","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT07/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_508","clinical_fiams",,"SPLIT08","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT08/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_509","clinical_fiams",,"SPLIT09","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT09/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_510","clinical_fiams",,"SPLIT10","tiger","TIGER","results/reference_splits/clinical_fiams/SPLIT10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_511","batchcorr_set1",,"SPLIT01","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT01/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_512","batchcorr_set1",,"SPLIT02","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT02/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_513","batchcorr_set1",,"SPLIT03","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT03/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_514","batchcorr_set1",,"SPLIT04","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT04/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_515","batchcorr_set1",,"SPLIT05","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT05/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_516","batchcorr_set1",,"SPLIT06","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT06/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_517","batchcorr_set1",,"SPLIT07","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT07/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_518","batchcorr_set1",,"SPLIT08","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT08/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_519","batchcorr_set1",,"SPLIT09","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT09/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_520","batchcorr_set1",,"SPLIT10","tiger","TIGER","results/reference_splits/batchcorr_set1/SPLIT10/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_521","sacurine",,"SPLIT01","tiger","TIGER","results/reference_splits/sacurine/SPLIT01/tiger",FALSE,0,0,0,"TIGER output was finite."
"reference_split","REF_522","sacurine",,"SPLIT02","tiger","TIGER","results/reference_splits/sacurine/SPLIT02/tiger",FALSE,0,0,0,"TIGER output was finite."
